"source_id","nombre","categoria","marca","modelo","descripcion","precio","stock","imagen_url","activo"
"ZT-INV-433926740E8506077F95","DIADEMA GAMER MOVISUN KG 300","MOVISUN","","","","175000","1","","1"
"ZT-INV-41D2D35353EEC07AF4F9","DIADEMA GAMER MOVISUN KG-100","MOVISUN","","","","120000","5","","1"
"ZT-INV-B23BBF99641124AF93CE","DIADEMA GAMER ONIKUMA B100","JEDEL","","","","110000","1","","1"
"ZT-INV-834688D30D915F55AEEF","DIADEMA GAMER ONIKUMA B90","JEDEL","","","","95000","0","","1"
"ZT-INV-90B5412F7AFEE866CC3A","DIADEMA GAMER RGB G606","JEDEL","","","","95000","1","","1"
"ZT-INV-5B430681795DDA8D4F99","DIADEMA JBL 530BT","JBL","","","","185000","0","","1"
"ZT-INV-09A58F3E41BDF9EC367E","DIADEMA JBL TUNE 730BT","JBL","","","","220000","0","","1"
"ZT-INV-4F8231D84EB61462596D","DIADEMA JEDEL GAMER GH580","JEDEL","","","","165000","1","","1"
"ZT-INV-97E1A2D21D99ACCBC1A1","DIADEMA MOVISUN K20 AZUL","MOVISUN","","","","120000","4","","1"
"ZT-INV-7E1DFB16972534F9FCF2","DIADEMA MOVISUN K20 NEGRO","MOVISUN","","","","120000","4","","1"
"ZT-INV-4F07AA94BBC10F761AFC","DIADEMA MOVISUN K20 VERDE","MOVISUN","","","","120000","4","","1"
